source;target;pmid
A11.627.340.583;A11.627.340.583;35222589
A11.733.689;A11;35222589
A11.733.689;A11.733;35222589
A11.733.689;A11.733.689;35222589
A15.145.229.637.415.583;A15;35222589
A15.145.229.637.415.583;A15.145;35222589
A15.145.229.637.415.583;A15.145.229;35222589
A15.145.229.637.415.583;A15.145.229.637;35222589
A15.145.229.637.415.583;A15.145.229.637.415;35222589
A15.145.229.637.415.583;A15.145.229.637.415.583;35222589
A15.382.490.315.583;A15;35222589
A15.382.490.315.583;A15.382;35222589
A15.382.490.315.583;A15.382.490;35222589
A15.382.490.315.583;A15.382.490.315;35222589
A15.382.490.315.583;A15.382.490.315.583;35222589
A15.382.680.689;A15;35222589
A15.382.680.689;A15.382;35222589
A15.382.680.689;A15.382.680;35222589
A15.382.680.689;A15.382.680.689;35222589
A02.835.232.043.150;A02;35193563
A02.835.232.043.150;A02.835;35193563
A02.835.232.043.150;A02.835.232;35193563
A02.835.232.043.150;A02.835.232.043;35193563
A02.835.232.043.150;A02.835.232.043.150;35193563
A02.835.583.475;A02;35193563
A02.835.583.475;A02.835;35193563
A02.835.583.475;A02.835.583;35193563
A02.835.583.475;A02.835.583.475;35193563
A02.835.232.043.650.883;A02;35193563
A02.835.232.043.650.883;A02.835;35193563
A02.835.232.043.650.883;A02.835.232;35193563
A02.835.232.043.650.883;A02.835.232.043;35193563
A02.835.232.043.650.883;A02.835.232.043.650;35193563
A02.835.232.043.650.883;A02.835.232.043.650.883;35193563
A11.500;A11;35181586
A11.500;A11.500;35181586
A11.329.372.700;A11;35181586
A11.329.372.700;A11.329;35181586
A11.329.372.700;A11.329.372;35181586
A11.329.372.700;A11.329.372.700;35181586
A11.627.482.700;A11;35181586
A11.627.482.700;A11.627;35181586
A11.627.482.700;A11.627.482;35181586
A11.627.482.700;A11.627.482.700;35181586
A06.300.560;A06;35175944
A06.300.560;A06.300;35175944
A06.300.560;A06.300.560;35175944
A01.941.750;A01;35100910
A01.941.750;A01.941;35100910
A01.941.750;A01.941.750;35100910
A02.835.232.043.650.321;A02;35100910
A02.835.232.043.650.321;A02.835;35100910
A02.835.232.043.650.321;A02.835.232;35100910
A02.835.232.043.650.321;A02.835.232.043;35100910
A02.835.232.043.650.321;A02.835.232.043.650;35100910
A02.835.232.043.650.321;A02.835.232.043.650.321;35100910
A02.835.232.087.090.700;A02;35100910
A02.835.232.087.090.700;A02.835;35100910
A02.835.232.087.090.700;A02.835.232;35100910
A02.835.232.087.090.700;A02.835.232.087;35100910
A02.835.232.087.090.700;A02.835.232.087.090;35100910
